manufacturer,type,cc,engine,start,end,brand,name,oid,sid,comment
起亚 (东风悦达起亚),千里马,1.3,G4EA,2002/12/1,2007/4/1,FAG,轮毂轴承,52710 25101,11717,后轮
起亚 (东风悦达起亚),千里马,1.6,G4ED,2002/12/1,2007/4/1,FAG,轮毂轴承,52710 25101,11717,后轮
起亚 (东风悦达起亚),千里马,1.3,G4EA,2002/12/1,2007/4/1,FAG,轮毂轴承,52710 25001,11718,后轮
起亚 (东风悦达起亚),千里马,1.6,G4ED,2002/12/1,2007/4/1,FAG,轮毂轴承,52710 25001,11718,后轮
宝马 (华晨宝马),5 (E60),2.5 (523i),N 52 B 25,2003/3/1,2007/12/1,Ruville,惰轮,11281748131,55006,附件系
宝马 (华晨宝马),5 (E60),2.5 (525i),M54256S5,2004/4/1,2006/2/1,Ruville,惰轮,11281748131,55006,附件系
宝马 (华晨宝马),5 (E60),3.0 (530i),M 54 B 30,2003/10/1,2005/6/1,Ruville,惰轮,11281748131,55006,附件系
宝马 (华晨宝马),5 (E60),2.5 (523i),N 52 B 25,2003/3/1,2007/12/1,Ruville,张紧器,11281427252,55025,附件系
宝马 (华晨宝马),5 (E60),2.5 (525i),M54256S5,2004/4/1,2006/2/1,Ruville,张紧器,11281427252,55025,附件系
宝马 (华晨宝马),5 (E60),3.0 (530i),M 54 B 30,2003/10/1,2005/6/1,Ruville,张紧器,11281427252,55025,附件系
宝马 (华晨宝马),5 (E60),2.5 (523i),N 52 B 25,2003/3/1,2007/12/1,Ruville,附件张紧器,11287512758,55055,附件系
宝马 (华晨宝马),5 (E60),2.5 (525i),M54256S5,2004/4/1,2006/2/1,Ruville,附件张紧器,11287512758,55055,附件系
宝马 (华晨宝马),5 (E60),3.0 (530i),M 54 B 30,2003/10/1,2005/6/1,Ruville,附件张紧器,11287512758,55055,附件系
宝马 (华晨宝马),5 (E60),2.5 (523i),N 52 B 25,2003/3/1,2007/12/1,Ruville,惰轮,11287516847,55060,附件系
宝马 (华晨宝马),5 (E60),2.5 (525i),M54256S5,2004/4/1,2006/2/1,Ruville,惰轮,11287516847,55060,附件系
宝马 (华晨宝马),5 (E60),3.0 (530i),M 54 B 30,2003/10/1,2005/6/1,Ruville,惰轮,11287516847,55060,附件系
宝马 (华晨宝马),3 (E90),2.5 (325i),N 52 B 25,2005/6/1,2012/9/1,Ruville,附件张紧器,11287530314,55066,附件系
宝马 (华晨宝马),5 (E60),2.5 (523Li),N 52 B 25,2006/11/1,2010/8/1,Ruville,附件张紧器,11287530314,55066,附件系
宝马 (华晨宝马),5 (E60),2.5 (525Li),/,2007/1/1,2010/4/1,Ruville,附件张紧器,11287530314,55066,附件系
