reseller,name,type,province,city,address,tel1,tel2,fax,products,carlines,comment
黑龙江天酬商贸有限公司,成功汽配公司,总店,黑龙江省,哈尔滨市,南岗区宣化街57号,0451-82613009,0451-82653009,0451-82617928,INA LUK FAG 路维,德系 法系 日系,
新疆泰润达商贸有限公司,新疆泰润达商贸有限公司,总店,新疆,乌鲁木齐,乌鲁木齐新市区长春路领秀新城小区24号楼2号门面,0991-6652739,,,INA正时，LUK离合器，FAG轴承，路维水泵,大众系列，美系，法系,
郑州奥德联发商贸有限公司,奥德联发配件部,总店,河南,郑州,郑州市金水区郑花路北段郑州北环汽配装饰广场B区6排5号,0371-65369827,,,,,
南京金得利汽车配件有限公司,,总店,江苏,南京,南京市栖霞区仙林汽配城19幢1-1号,025-85355688,,,,,
郑州市大地车福汽配有限公司,,总店,河南,郑州,郑州市花园路111号天荣汽配城A76-11 ,0371-65760375,,,,,
河南汇泰汽车部件股份有限公司,,总店,河南,郑州,郑州市花园北路111号天荣汽配城A79/A69号,0371-55695613  ,0371-55695627,13673384716,,,
济南利众实业有限公司,总部,总店,山东,济南,山东省济南市天桥区蓝翔路15号时代总部基地三区15号,0531-68812929,,,LUK/INA/FAG/RUVILLE,大众,
济南利众实业有限公司,通用部,分店,山东,济南,济南市张庄路307号新老屯汽配城北21排26-27,0531-68819955,,,LUK/INA/FAG/RUVILLE,通用,
济南利众实业有限公司,零售店,分店,山东,济南,济南市北园大街69号山东汽车城内5-1138号.,0531-88604373,,,LUK/INA/FAG/RUVILLE,大众,
济南柏泉商贸有限公司,总店,总店,山东,济南,济南市张庄路307号老屯汽配城南区7排1-2号,0531-83152876,,,LUK/INA/FAG/RUVILLE,奥迪,
山东中驰汽配电子商务有限公司,总部,总店,山东,济南,济南市槐荫区经十路西光明街5号经信委老干部局5楼,0531-67751763,,,LUK/INA/FAG/RUVILLE,全系列,
山东驶可福轴承贸易有限公司,总部,总店,山东,济南,济南市槐荫区兴济河西老屯汽车配件城北区21排14-16号,0531-55552098,,,FAG轴承类产品,全车系,
浙江康达汽车工贸有限公司,总部,总店,浙江,杭州,浙江省杭州市余杭区通运路52号,0571-86894019,,,LUK/INA/FAG/RUVILLE,全系列,
