suiteId,name,componentId,componentName
4230080100,气门挺杆套装,4200046000,气门挺杆,
4230080100,气门挺杆套装,4200047000,气门挺杆,
5300004100,正时套装,41030,螺栓,
5300004100,正时套装,5310101000,张紧轮,
5300004100,正时套装,5360187000,正时皮带,
5300049090,正时套装（不含皮带）,5310054000,张紧轮,
5300049090,正时套装（不含皮带）,5320039000,惰轮,
5300049100,正时套装,5310054000,张紧轮,
5300049100,正时套装,5320039000,惰轮,
5300049100,正时套装,5360192000,正时皮带,
5300049310,水泵套装,5310054000,张紧轮,
5300049310,水泵套装,5320039000,惰轮,
5300049310,水泵套装,5360192000,正时皮带,
5300049310,水泵套装,65316,水泵,
5300067090,正时套装（不含皮带）,5310500000,张紧轮,
5300067090,正时套装（不含皮带）,5330030000,张紧器,
5300067100,正时套装,5310500000,张紧轮,
5300067100,正时套装,5330030000,张紧器,
5300067100,正时套装,5360012000,正时皮带,
5300067300,水泵套装,5330030000,张紧器,
5300067300,水泵套装,5310500000,张紧轮,
5300067300,水泵套装,5360012000,正时皮带,
5300067300,水泵套装,65412A1B,水泵,
5300069090,正时套装（不含皮带）,41096,螺栓,
5300069090,正时套装（不含皮带）,5310499000,张紧轮,
5300069090,正时套装（不含皮带）,5320161000,惰轮,
5300069100,正时套装,41096,螺栓,
5300069100,正时套装,5310499000,张紧轮,
5300069100,正时套装,5320161000,惰轮,
5300069100,正时套装,5360250000,正时皮带,
5300070090,正时套装（不含皮带）,5310499000,张紧轮,
5300070090,正时套装（不含皮带）,5330032000,张紧器,
5300082090,正时套装（不含皮带）,31213,螺母,
5300082090,正时套装（不含皮带）,41073,螺栓,
5300082090,正时套装（不含皮带）,41098,螺栓,
5300082090,正时套装（不含皮带）,41164,螺栓,
5300082090,正时套装（不含皮带）,41166,螺栓,
5300082090,正时套装（不含皮带）,71225,垫片,
5300082090,正时套装（不含皮带）,5310440000,张紧轮,
5300082090,正时套装（不含皮带）,5320111000,惰轮,
5300082090,正时套装（不含皮带）,5320161000,惰轮,
5300082090,正时套装（不含皮带）,5320165000,惰轮,
5300082100,正时套装,31213,螺母,
5300082100,正时套装,41073,螺栓,
5300082100,正时套装,41098,螺栓,
5300082100,正时套装,41164,螺栓,
5300082100,正时套装,41166,螺栓,
5300082100,正时套装,71177,垫片,
5300082100,正时套装,5310440000,张紧轮,
5300082100,正时套装,5320111000,惰轮,
5300082100,正时套装,5320161000,惰轮,
5300082100,正时套装,5320165000,惰轮,
5300082100,正时套装,5360280000,正时皮带,
5300082300,水泵套装,31213,螺母,
5300082300,水泵套装,41073,螺栓,
5300082300,水泵套装,41098,螺栓,
5300082300,水泵套装,41164,螺栓,
5300082300,水泵套装,41166,螺栓,
5300082300,水泵套装,5310440000,张紧轮,
5300082300,水泵套装,5320111000,惰轮,
5300082300,水泵套装,5320161000,惰轮,
5300082300,水泵套装,5320165000,惰轮,
5300082300,水泵套装,5360280000,正时皮带,
5300082300,水泵套装,65443A2B,水泵,
5300082300,水泵套装,71225,垫片,
5300089090,正时套装（不含皮带）,5310317000,张紧轮,
5300089090,正时套装（不含皮带）,5310339000,张紧轮,
5300089090,正时套装（不含皮带）,41092,螺栓,
5300089090,正时套装（不含皮带）,41098,螺栓,
5300089090,正时套装（不含皮带）,5320167000,惰轮,
5300089090,正时套装（不含皮带）,5320185000,惰轮,
5300089100,正时套装,41092,螺栓,
5300089100,正时套装,41098,螺栓,
5300089100,正时套装,5310317000,张紧轮,
5300089100,正时套装,5310339000,张紧轮,
5300089100,正时套装,5320167000,惰轮,
5300089100,正时套装,5320185000,惰轮,
5300089100,正时套装,5360228000,正时皮带,
5300089100,正时套装,5360233000,正时皮带,
5300089310,水泵套装,41092,螺栓,
5300089310,水泵套装,41098,螺栓,
